id,product_id,order_id
157,0,1923
461,0,2508
1481,0,4159
3392,0,7916
3792,0,3924
4278,0,8557
6181,0,1661
6351,0,7975
6970,0,8315
7394,0,1194
8031,0,8972
8676,0,6739
9279,0,9142
10405,0,1225
10523,0,6060
11073,0,5958
11765,0,2637
11983,0,1382
12424,0,6478
12959,0,3251
13128,0,4937
13517,0,4882
13727,0,1647
14604,0,8533
16996,0,3150
17508,0,5658
17798,0,1797
18311,0,8837
18811,0,1125
19143,0,817
19291,0,1963
19421,0,1557
19452,0,8393
19515,0,9958
19710,0,8150
19779,0,7125
20699,0,4927
20748,0,5550
20837,0,8536
21800,0,5553
21994,0,1051
22106,0,6247
22630,0,7499
23789,0,2902
24648,0,4937
24877,0,7604
25060,0,9168
25258,0,9665
25284,0,9845
25878,0,4638
26027,0,3939
26689,0,2018
27024,0,5126
27072,0,6828
27161,0,6941
28130,0,4401
28212,0,12
29013,0,998
29270,0,9266
29286,0,5327
29914,0,7868
30095,0,3405
30136,0,6033
30196,0,4447
30525,0,9298
30894,0,2038
31972,0,15
32486,0,5674
33588,0,101
33790,0,6236
34131,0,4709
34226,0,4341
34253,0,5334
34481,0,4070
34745,0,6149
34806,0,7960
35159,0,9469
35317,0,7580
35667,0,1314
35704,0,6598
36134,0,2289
36992,0,3196
37656,0,7650
37742,0,3315
37780,0,2801
37856,0,937
38407,0,2653
38835,0,7136
38890,0,9762
39138,0,2999
39289,0,4756
39815,0,5257
39843,0,3109
40351,0,1733
40460,0,2755
40495,0,7282
40602,0,7980
41179,0,989
41307,0,4549
41635,0,4828
41842,0,2122
42546,0,1593
44175,0,4535
44783,0,4348
45279,0,5999
45820,0,4518
46093,0,589
46876,0,3224
47313,0,2159
47522,0,3429
47990,0,6628
48130,0,9578
48142,0,3241
48554,0,4914
49132,0,9919
107,0,269
162,0,7158
224,0,5825
274,0,6024
484,0,7802
488,0,5202
498,0,1333
573,0,3589
705,0,4769
753,0,3447
976,0,2347
1043,0,2295
1192,0,9526
1263,0,4651
1266,0,1850
1410,0,8892
1415,0,8263
1433,0,4812
1460,0,1869
1775,0,419
1809,0,4966
1901,0,6474
1906,0,7693
1917,0,4022
1932,0,8274
2047,0,5985
2632,0,4626
2752,0,6043
3022,0,3873
3057,0,5478
3163,0,5278
3394,0,9877
3440,0,518
3745,0,9323
3918,0,96
3962,0,6084
4016,0,6144
4099,0,8938
4169,0,7671
4188,0,2471
4275,0,9440
4422,0,3767
4503,0,7488
4581,0,3172
4810,0,6538
4850,0,9719
4858,0,1662
4954,0,8027
5008,0,1278
5043,0,9824
5134,0,9173
5160,0,9253
5216,0,10
5395,0,6431
5797,0,6132
5974,0,7125
6227,0,4314
6444,0,5526
6490,0,8753
6543,0,1379
6633,0,5990
6679,0,849
6724,0,3870
6741,0,8022
6801,0,4268
6803,0,1734
6890,0,7630
6944,0,4117
7075,0,866
7083,0,7142
7202,0,54
7453,0,6737
7646,0,3161
7687,0,3173
7707,0,2109
7961,0,2385
8103,0,2008
8146,0,5297
8164,0,776
8216,0,6574
8290,0,4396
8300,0,5001
8396,0,1870
8457,0,9102
8611,0,3942
8691,0,2575
8761,0,6703
8785,0,599
9061,0,8625
9073,0,5395
9129,0,6410
9135,0,647
9804,0,1839
9912,0,8826
9922,0,1606
9976,0,1649
10054,0,9920
10198,0,6226
10282,0,5442
10318,0,7973
10366,0,1777
10522,0,6738
10599,0,3841
10896,0,3865
11077,0,227
11253,0,2386
11256,0,1520
11537,0,14
11554,0,533
11609,0,7113
11612,0,2353
11649,0,3933
11798,0,9622
11856,0,9840
11962,0,1178
11992,0,9966
12016,0,5848
12019,0,5447
12035,0,1488
12087,0,9631
12169,0,402
12198,0,9878
12241,0,9553
12450,0,4638
12461,0,2055
12462,0,6003
12676,0,6511
12772,0,3755
12797,0,5481
12963,0,6838
13061,0,9177
13115,0,2576
13125,0,7327
13152,0,2693
13294,0,7838
13464,0,8758
13705,0,5358
13736,0,7877
13951,0,1759
13996,0,7397
